task_id,release_minute,decision_step,origin,destination
490,347.71666666666664,23,Q4,S11
491,347.81666666666666,23,S8,Q3
492,348.43333333333334,23,Q2,S1
493,348.43333333333334,23,Q2,S1
494,348.46666666666664,23,S8,Q3
495,349.1666666666667,23,Q4,S8
496,349.4,23,S4,Q3
497,350.3833333333333,23,Q2,S2
498,350.85,23,Q3,S11
499,350.85,23,S8,Q3
500,351.28333333333336,23,S8,Q3
501,352.3333333333333,23,S4,Q3
502,352.78333333333336,23,Q2,S2
503,354.06666666666666,23,S10,Q3
504,355.15,23,Q2,S2
505,355.8333333333333,23,S8,Q3
506,356.1333333333333,23,Q3,S11
507,357.1666666666667,23,S7,Q3
508,357.31666666666666,23,Q4,S11
509,357.8833333333333,23,S10,Q3
510,357.9166666666667,23,Q3,S7
511,358.5833333333333,23,S7,Q3
512,358.71666666666664,23,Q2,S2
513,359.18333333333334,23,Q2,S2
514,359.21666666666664,23,S4,Q3
515,359.43333333333334,23,Q2,S5
516,360.03333333333336,24,S10,Q3
517,360.28333333333336,24,Q2,S3
518,360.3666666666667,24,Q3,S1
519,360.6666666666667,24,Q4,S9
520,360.71666666666664,24,Q2,S1
521,360.71666666666664,24,Q2,S1
522,360.9166666666667,24,Q2,S2
523,360.98333333333335,24,Q3,S4
524,361.21666666666664,24,S7,Q3
525,362.51666666666665,24,S4,Q3
526,362.8666666666667,24,Q2,S1
527,362.9166666666667,24,Q2,S2
528,362.9166666666667,24,Q2,S2
529,363.0,24,S8,Q3
530,363.35,24,Q2,S1
531,363.6333333333333,24,Q2,S2
532,364.3666666666667,24,S4,Q3
533,364.95,24,Q3,S9
534,364.95,24,S7,Q3
535,365.1333333333333,24,Q2,S10
536,365.1333333333333,24,Q2,S2
537,365.26666666666665,24,Q3,S8
538,366.4166666666667,24,Q2,S1
539,366.8,24,Q2,S7
540,366.8,24,Q2,S7
541,366.9166666666667,24,Q4,S9
542,367.15,24,Q2,S2
543,369.0833333333333,24,Q3,S2
544,369.25,24,Q2,S4
545,369.25,24,Q2,S4
546,369.46666666666664,24,Q3,S8
547,370.01666666666665,24,Q2,S11
548,370.01666666666665,24,Q2,S2
549,371.1,24,S10,Q3
550,371.6333333333333,24,Q4,S3
551,371.8,24,Q2,S11
552,371.8,24,Q2,S11
553,371.95,24,Q3,S4
554,372.3666666666667,24,Q4,S3
555,372.6166666666667,24,S7,Q3
556,373.0833333333333,24,S4,Q3
557,373.26666666666665,24,S10,Q3
558,373.5,24,Q3,S12
559,375.03333333333336,25,Q2,S3
560,375.0833333333333,25,Q2,S8
561,375.3833333333333,25,Q4,S5
562,375.4,25,Q3,S4
563,375.68333333333334,25,Q2,S1
564,376.35,25,Q4,S10
565,376.85,25,Q3,S12
566,377.1166666666667,25,S4,Q3
567,377.21666666666664,25,S8,Q3
568,377.23333333333335,25,S4,Q3
569,377.48333333333335,25,Q2,S12
570,377.96666666666664,25,S7,Q3
571,378.71666666666664,25,S10,Q3
572,379.55,25,Q4,S10
573,379.5833333333333,25,S8,Q3
574,380.5,25,S8,Q3
575,380.51666666666665,25,Q3,S4
576,380.6166666666667,25,Q2,S5
577,380.76666666666665,25,Q3,S8
578,381.25,25,S4,Q3
579,381.73333333333335,25,Q2,S4
580,381.73333333333335,25,Q2,S2
581,383.35,25,Q2,S4
582,383.35,25,Q2,S4
583,383.51666666666665,25,S4,Q3
584,383.55,25,S10,Q3
585,383.71666666666664,25,Q2,S2
586,383.73333333333335,25,Q3,S12
587,383.98333333333335,25,S8,Q3
588,384.4,25,Q3,S4
589,385.0,25,S4,Q3
590,385.48333333333335,25,S8,Q3
591,385.76666666666665,25,S10,Q3
592,385.8,25,Q2,S8
593,385.8,25,Q2,S10
594,385.85,25,Q2,S10
595,386.6166666666667,25,Q2,S4
596,386.6166666666667,25,Q2,S12
597,386.9166666666667,25,Q4,S12
598,386.9166666666667,25,Q4,S12
599,386.96666666666664,25,Q2,S4
600,386.96666666666664,25,Q2,S2
601,387.0833333333333,25,Q3,S2
602,387.6,25,Q3,S8
603,388.7,25,Q2,S2
604,388.7,25,Q2,S2
605,388.7,25,Q2,S4
606,388.7,25,Q2,S4
607,388.78333333333336,25,Q4,S9
608,388.78333333333336,25,Q4,S9
609,389.68333333333334,25,S8,Q3
610,391.3,26,S4,Q3
611,391.5833333333333,26,Q2,S10
612,391.5833333333333,26,Q2,S4
613,391.8666666666667,26,Q2,S4
614,391.8666666666667,26,Q2,S4
615,392.01666666666665,26,Q3,S2
616,392.0833333333333,26,Q4,S1
617,392.0833333333333,26,Q4,S1
618,392.53333333333336,26,S8,Q3
619,392.5833333333333,26,S4,Q3
620,392.5833333333333,26,Q3,S4
621,392.6333333333333,26,Q2,S5
622,392.6333333333333,26,Q2,S4
623,393.0833333333333,26,Q4,S12
624,393.0833333333333,26,Q4,S12
625,393.5,26,Q2,S2
626,393.5,26,Q2,S11
627,393.8666666666667,26,S11,Q3
628,394.0833333333333,26,Q2,S2
629,394.0833333333333,26,Q2,S11
630,394.21666666666664,26,S4,Q3
631,394.78333333333336,26,S4,Q3
632,395.7,26,S11,Q3
633,395.85,26,S8,Q3
634,396.35,26,Q4,S3
635,396.35,26,Q2,S4
636,396.35,26,Q4,S2
637,396.35,26,Q2,S11
638,396.3833333333333,26,Q2,S5
639,396.3833333333333,26,Q2,S5
640,396.6,26,Q3,S7
641,396.6,26,Q3,S8
642,397.43333333333334,26,S11,Q4
643,398.48333333333335,26,Q2,S2
644,398.48333333333335,26,Q2,S2
645,399.06666666666666,26,S11,Q4
646,399.1666666666667,26,S4,Q3
647,399.71666666666664,26,S11,Q3
648,400.01666666666665,26,Q3,S8
649,400.1333333333333,26,Q2,S5
650,400.1333333333333,26,Q2,S1
651,400.31666666666666,26,Q4,S1
652,400.31666666666666,26,Q4,S2
653,401.93333333333334,26,Q3,S7
654,401.96666666666664,26,Q2,S7
655,401.96666666666664,26,Q2,S7
656,402.4166666666667,26,Q2,S1
657,402.4166666666667,26,Q2,S5
658,404.0,26,S11,Q4
659,404.05,26,Q4,S11
660,404.05,26,Q4,S11
661,404.15,26,Q4,S10
662,404.15,26,Q4,S7
663,404.23333333333335,26,Q2,S4
664,404.25,26,S4,Q3
665,404.9,26,Q3,S3
666,405.1,27,S8,Q3
667,405.25,27,S4,Q3
668,405.51666666666665,27,Q2,S4
669,405.8,27,Q2,S12
670,405.8,27,Q2,S12
671,406.1333333333333,27,Q2,S4
672,406.5833333333333,27,Q3,S11
673,406.93333333333334,27,Q4,S4
674,406.93333333333334,27,Q4,S2
675,407.5833333333333,27,S8,Q4
676,408.03333333333336,27,Q2,S2
677,408.03333333333336,27,Q2,S10
678,408.3333333333333,27,Q2,S1
679,408.6666666666667,27,Q2,S4
680,408.75,27,Q3,S8
681,409.01666666666665,27,Q2,S4
682,410.3666666666667,27,S11,Q3
683,410.5833333333333,27,S7,Q3
684,411.15,27,S8,Q3
685,411.21666666666664,27,Q2,S4
686,412.31666666666666,27,Q3,S7
687,412.3666666666667,27,Q4,S8
688,412.3666666666667,27,Q4,S4
689,412.78333333333336,27,Q2,S4
690,413.23333333333335,27,S10,Q3
691,414.0833333333333,27,Q2,S8
692,414.7,27,S8,Q3
693,414.9166666666667,27,Q2,S4
694,415.71666666666664,27,Q4,S10
695,415.71666666666664,27,Q4,S2
696,416.81666666666666,27,Q3,S5
697,417.53333333333336,27,S11,Q3
698,417.9166666666667,27,Q2,S4
699,418.6333333333333,27,Q2,S2
700,418.6333333333333,27,Q2,S4
701,419.53333333333336,27,Q2,S4
702,420.4,28,Q2,S4
703,420.75,28,Q3,S1
704,421.28333333333336,28,Q2,S10
705,421.28333333333336,28,Q2,S2
706,421.73333333333335,28,Q2,S2
707,422.05,28,Q4,S2
708,422.05,28,Q4,S4
709,422.45,28,Q3,S4
710,422.8833333333333,28,S4,Q3
711,423.05,28,Q2,S7
712,423.05,28,Q2,S12
713,423.8333333333333,28,Q3,S8
714,424.53333333333336,28,S7,Q3
715,424.96666666666664,28,Q2,S4
716,424.96666666666664,28,Q2,S4
717,425.6666666666667,28,Q2,S2
718,425.76666666666665,28,Q4,S10
719,425.76666666666665,28,Q4,S10
720,427.05,28,Q4,S7
721,427.05,28,Q4,S7
722,427.0833333333333,28,Q2,S2
723,427.6666666666667,28,Q2,S2
724,427.75,28,Q3,S11
725,428.05,28,Q2,S2
726,428.05,28,Q2,S2
727,429.68333333333334,28,Q2,S2
728,430.01666666666665,28,S10,Q3
729,430.18333333333334,28,Q4,S10
730,430.18333333333334,28,Q4,S11
731,430.6666666666667,28,Q2,S3
732,430.6666666666667,28,Q2,S2
733,431.25,28,S11,Q4
734,431.45,28,Q2,S2
735,432.18333333333334,28,Q2,S3
736,433.01666666666665,28,Q2,S3
737,433.3333333333333,28,Q2,S2
738,434.1666666666667,28,Q2,S5
739,434.2,28,S8,Q4
740,434.6333333333333,28,Q2,S2
741,434.93333333333334,28,S7,Q3
742,435.9166666666667,29,S8,Q4
743,435.96666666666664,29,Q4,S1
744,436.9166666666667,29,Q2,S4
745,437.3666666666667,29,Q2,S7
746,437.43333333333334,29,Q2,S2
747,437.9166666666667,29,Q2,S2
748,438.56666666666666,29,Q4,S7
749,438.56666666666666,29,Q4,S4
750,438.6333333333333,29,S11,Q4
751,440.06666666666666,29,Q2,S4
752,440.48333333333335,29,S11,Q4
753,440.56666666666666,29,Q2,S2
754,441.73333333333335,29,Q3,S7
755,441.76666666666665,29,Q3,S4
756,442.43333333333334,29,Q2,S2
757,443.0,29,Q2,S4
758,443.0,29,Q2,S7
759,443.73333333333335,29,S4,Q3
760,444.81666666666666,29,Q3,S1
761,445.3,29,Q3,S8
762,445.75,29,Q3,S5
763,446.96666666666664,29,Q3,S8
764,447.35,29,Q3,S7
765,447.68333333333334,29,S4,Q3
766,447.76666666666665,29,Q3,S1
767,448.46666666666664,29,Q3,S8
768,449.25,29,S7,Q3
769,449.73333333333335,29,Q4,S11
770,449.73333333333335,29,Q2,S11
771,449.73333333333335,29,Q2,S8
772,449.73333333333335,29,Q4,S12
773,450.8666666666667,30,Q3,S4
774,451.3666666666667,30,Q3,S7
775,452.51666666666665,30,Q4,S10
776,452.51666666666665,30,Q4,S11
777,452.73333333333335,30,Q2,S1
778,452.73333333333335,30,Q2,S9
779,454.55,30,Q2,S2
780,456.98333333333335,30,Q2,S1
781,456.98333333333335,30,Q2,S2
782,457.26666666666665,30,Q4,S11
783,457.26666666666665,30,Q4,S11
784,457.43333333333334,30,Q3,S2
785,458.96666666666664,30,Q3,S4
